name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Dr. Reckeweg Caladium Seg Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-200-ch-otc335830
Bakson's Diab Aid Drop,bottle of 30 ml Drop,155,140,https://www.1mg.com/otc/bakson-s-diab-aid-drop-otc326086
Dr Willmar Schwabe India Munostim Globules,bottle of 10 gm Globules,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
Bakson Kof Aid Tablet,bottle of 75 tablets,215,188,https://www.1mg.com/otc/bakson-kof-aid-tablet-otc327314
SBL Sleeptite Tablet,bottle of 25 gm Tablet,165,149,https://www.1mg.com/otc/sbl-sleeptite-tablet-otc329013
SBL Silicea Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-silicea-dilution-30-ch-otc338178
ADEL 13 Fattex Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-13-fattex-drop-otc326108
SBL Drops No. 1 (For Hair Care),bottle of 30 ml Drop,185,163,https://www.1mg.com/otc/sbl-drops-no.-1-for-hair-care-otc325890
Bjain Crataegus Oxyacantha Mother Tincture Q,bottle of 100 ml Mother Tincture,195,150,https://www.1mg.com/otc/bjain-crataegus-oxyacantha-mother-tincture-q-otc445534
Boericke and Tafel Glow & Fairness Soap,packet of 75 gm Soap,50,44,https://www.1mg.com/otc/boericke-and-tafel-glow-fairness-soap-otc498711
SBL Lecithinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,175,158,https://www.1mg.com/otc/sbl-lecithinum-trituration-tablet-3x-otc338981
SBL Ignatia Amara Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-ignatia-amara-dilution-200-ch-otc347956
Dr. Reckeweg Pulsatilla Dilution 30 CH,bottle of 11 ml Dilution,135,125,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-30-ch-otc326477
Dr. Reckeweg Caladium Seg Dilution 30 CH,bottle of 11 ml Dilution,135,119,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-30-ch-otc326875
SBL Agnus Castus Dilution 200 CH,bottle of 30 ml Dilution,115,112,https://www.1mg.com/otc/sbl-agnus-castus-dilution-200-ch-otc345717
Bakson AC#9 Tablet,bottle of 200 tablets,500,450,https://www.1mg.com/otc/bakson-ac-9-tablet-otc502623
SBL Conium Maculatum Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-200-ch-otc346425
SBL Kalmegh Syrup,bottle of 115 ml Syrup,115,101,https://www.1mg.com/otc/sbl-kalmegh-syrup-otc331014
Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,bottle of 20 ml Mother Tincture,335,305,https://www.1mg.com/otc/dr.-reckeweg-rauwolfia-serp-mother-tincture-q-otc327530
SBL Sulphur Ointment,tube of 25 gm Ointment,75,68,https://www.1mg.com/otc/sbl-sulphur-ointment-otc331007
SBL Calcarea Carbonica Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-30-ch-otc338361
Dr Willmar Schwabe India Aspidosperma Mother Tincture Q,bottle of 30 ml Mother Tincture,220,194,https://www.1mg.com/otc/dr-willmar-schwabe-india-aspidosperma-mother-tincture-q-otc390789
Dr Willmar Schwabe India Leptandra Mother Tincture Q,bottle of 30 ml Mother Tincture,515,453,https://www.1mg.com/otc/dr-willmar-schwabe-india-leptandra-mother-tincture-q-otc391268
Bakson Calci Aid Tablet,bottle of 75 tablets,215,208,https://www.1mg.com/otc/bakson-calci-aid-tablet-otc327082
Allen A92 C.K.D.(Chronic Kidney Diseases) Drop,bottle of 30 ml Drop,170,153,https://www.1mg.com/otc/allen-a92-c.k.d.-chronic-kidney-diseases-drop-otc330463
Bakson Calci Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-calci-aid-tablet-otc502732
SBL Colocynthis Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-colocynthis-dilution-200-ch-otc346213
SBL Acidum Phosphoricum Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-30-ch-otc338402
Bakson's Compound # 46 Slim Tablet,bottle of 100 tablets,135,119,https://www.1mg.com/otc/bakson-s-compound-46-slim-tablet-otc503002
ADEL 20 Proaller Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-20-proaller-drop-otc326099
SBL Nyctanthes Arbor Tristis Mother Tincture Q,bottle of 30 ml Mother Tincture,105,101,https://www.1mg.com/otc/sbl-nyctanthes-arbor-tristis-mother-tincture-q-otc338654
SBL Symphytum Officinale Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-symphytum-officinale-mother-tincture-q-otc338413
Dr. Reckeweg Ruta Graveolens Dilution 200 CH,bottle of 11 ml Dilution,160,149,https://www.1mg.com/otc/dr.-reckeweg-ruta-graveolens-dilution-200-ch-otc331692
SBL Orthomuv Massage Oil,bottle of 60 ml Oil,100,88,https://www.1mg.com/otc/sbl-orthomuv-massage-oil-otc329001
Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/dr-willmar-schwabe-india-thuja-occidentalis-dilution-200-ch-otc406388
ADEL 29 Akutur Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-29-akutur-drop-otc326091
Bakson's Calcarea Fluorica Biochemic Tablet 6X,bottle of 4500 biochemic tablets,720,655,https://www.1mg.com/otc/bakson-s-calcarea-fluorica-biochemic-tablet-6x-otc697438
SBL Aurum Muriaticum Natronatum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,300,261,https://www.1mg.com/otc/sbl-aurum-muriaticum-natronatum-trituration-tablet-3x-otc339037
